startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,groupColor
1542,12,26,,,,三河国岡崎城内で誕生,,5,徳川家康,
1555,3,1,,,,今川義元の元で元服,,5,徳川家康,
1560,5,23,,,,岡崎城へ入る,static/img/test.jpg,5,徳川家康,
1566,12,29,,,,家康、徳川と改姓,,5,徳川家康,
1575,5,12,,,,長篠の戦い 武田軍に壊滅的打撃,,5,徳川家康,
1582,6,2,,,,本能寺の変,static/img/test_300.jpg,5,徳川家康,
1586,12,4,,,,居城を浜松城から駿府城へ移す,,5,徳川家康,
1598,9,18,,,,秀吉 死亡,,5,徳川家康,
1600,9,15,,,,関ヶ原の合戦,,5,徳川家康,
1614,11,1,,,,大坂冬の陣。徳川・豊臣両軍が激突,,5,徳川家康,
1615,5,6,,,,大坂夏の陣。徳川・豊臣両軍激突 ,,5,徳川家康,
1616,4,17,,,,死去,,5,徳川家康,
